p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ARMC9	5.7613530398355e-17	0.296366712422619	0.108	0.013	2.10871282611019e-12
BTN3A2	6.05209110632082e-17	-0.479449751579281	0.16	0.321	2.21512586582448e-12
CD81	6.17246315666224e-17	-0.373476069135376	0.505	0.696	2.25918323996994e-12
ZFAND3	6.6775401018244e-17	0.524364683526033	0.802	0.703	2.44404645266875e-12
BSG	8.33574687913376e-17	-0.407290877135828	0.317	0.502	3.05096671523175e-12
EIF4A3	8.85055868006416e-17	-0.466832672133436	0.24	0.409	3.23939298249028e-12
G6PD	9.62057776034399e-17	-0.399010407730899	0.076	0.208	3.5212276660635e-12
GNB5	1.10799154496458e-16	0.476016070900869	0.218	0.082	4.05535985372486e-12
PRNP	1.11692674436089e-16	-0.478242991035759	0.291	0.465	4.0880635770353e-12
ADK	1.37328056468937e-16	0.606562312674645	0.512	0.357	5.02634419481955e-12
DEAF1	1.38544407422223e-16	0.467220650683113	0.208	0.075	5.07086385606077e-12
S1PR5	1.44358197591336e-16	-0.453641596422588	0.223	0.391	5.28365439004048e-12
ATP5F1B	1.50737474797093e-16	-0.4367582002092	0.326	0.494	5.5171423150484e-12
AC010609.1	1.57283964920363e-16	0.385063551397044	0.158	0.043	5.75675040005022e-12
FKBP8	1.97049468495699e-16	-0.465029655003555	0.209	0.371	7.21220759641107e-12
EIF6	2.00432326514567e-16	-0.431573128950022	0.174	0.334	7.33602358275965e-12
PPP6R3	2.21295334194332e-16	0.566576699992935	0.594	0.446	8.09963052684674e-12
UPP1	2.27554958502535e-16	-0.46431845461949	0.383	0.558	8.32873903615127e-12
TPM3	2.58770835987914e-16	-0.39004751259271	0.471	0.646	9.47127136799365e-12
PKIA	2.81168145031072e-16	0.446295973948417	0.152	0.04	1.02910352762823e-11
RHOA	2.88028706108695e-16	-0.373813175347959	0.493	0.673	1.05421386722844e-11
LINC01891	2.9805749122802e-16	0.369610316045069	0.132	0.028	1.09092022364367e-11
PCBP1	2.9877587086015e-16	-0.382253153371175	0.524	0.695	1.09354956493524e-11
RPL27	3.25935656013686e-16	-0.32598898500499	0.854	0.957	1.19295709457569e-11
WAC	5.37987430289705e-16	0.517247364402857	0.683	0.585	1.96908779360335e-11
ISG20	5.85085749484304e-16	-0.451449234903044	0.618	0.754	2.1414723516875e-11
FBXL20	5.88213005411154e-16	0.58773414486227	0.444	0.272	2.15291842110536e-11
CXXC5	6.64359081950167e-16	-0.422778532416848	0.225	0.4	2.43162067584581e-11
RPRD2	7.04452642424796e-16	0.641216654633975	0.389	0.228	2.578367116539e-11
KANSL1-AS1	7.35552534641457e-16	-0.288135333220815	0.025	0.121	2.6921958320412e-11
FILIP1L	7.95605028193648e-16	0.506415632013604	0.179	0.058	2.91199396369157e-11
UAP1	8.85089867294219e-16	-0.452340392302587	0.26	0.43	3.23951742328357e-11
EHD1	9.08732449287243e-16	-0.49000346636284	0.281	0.443	3.32605163763624e-11
CD53	9.43388174296687e-16	-0.412141071608865	0.645	0.777	3.45289505674331e-11
PAIP2	1.24868663478752e-15	-0.391647334155188	0.428	0.597	4.5703179519858e-11
PAM	1.2504973499438e-15	-0.600080997356295	0.408	0.572	4.57694535052931e-11
SPON2	1.37802727777381e-15	-0.419612853107016	0.464	0.652	5.04371763937993e-11
PRDX2	1.66109223842511e-15	-0.435640659689122	0.168	0.318	6.07976370185975e-11
SPAG1	1.71237976297527e-15	-0.421503894471758	0.356	0.535	6.26748117046579e-11
KLRB1	1.87972286690921e-15	-0.332891098214349	0.609	0.785	6.87997366517439e-11
HCP5	1.99529759715279e-15	-0.421220765855526	0.136	0.282	7.30298873533894e-11
RGS3	2.00397348253402e-15	-0.407368285363757	0.354	0.54	7.33474334342277e-11
ITGAM	2.1125513662763e-15	-0.363026442846746	0.134	0.286	7.73214925570788e-11
ARHGDIA	2.17970472730415e-15	-0.418842926985375	0.308	0.479	7.97793727240592e-11
CELF2	2.42237790347353e-15	0.472559099832782	0.785	0.717	8.86614536450348e-11
MAP3K1	2.4542858921011e-15	0.45971766998016	0.283	0.134	8.98293179367924e-11
MYADM	2.59988317015383e-15	-0.38880966792171	0.632	0.777	9.51583239108005e-11
NRROS	2.62438229208222e-15	-0.335742204359642	0.036	0.136	9.60550162725013e-11
DDIT4	2.91169099542954e-15	-0.476777006565956	0.295	0.469	1.06570802123717e-10
NFKB2	3.30427983637327e-15	-0.37655972806963	0.348	0.526	1.20939946291098e-10
TAGLN2	4.3031950370821e-15	-0.322224440892818	0.853	0.942	1.57501241552242e-10
H2AFX	4.47124733212551e-15	-0.369940421451709	0.113	0.256	1.63652123603126e-10
IFITM3	4.55880239258981e-15	-0.387618838653411	0.05	0.159	1.6685672637118e-10
ZMYM2	5.60421875088227e-15	0.556546752386733	0.356	0.203	2.05120010501042e-10
TRGC1	5.77548360080074e-15	-0.375690841837702	0.108	0.246	2.11388475272908e-10
MAN1C1	6.02047127819262e-15	0.365794213004241	0.168	0.054	2.20355269253128e-10
FAM102A	6.40624508297663e-15	0.357974197893471	0.181	0.063	2.34474976282028e-10
ATP5F1E	6.41230301666345e-15	-0.309202602208125	0.812	0.923	2.34696702712899e-10
CNOT6L	6.73664902669312e-15	0.474524985332308	0.778	0.699	2.46568091025995e-10
IKZF1	7.36534792776647e-15	0.51860083120818	0.635	0.522	2.6957909950418e-10
RHOH	8.79965499412401e-15	0.596277346547594	0.591	0.468	3.22076172439933e-10
RRAD	8.94384616859675e-15	-0.56952388919397	0.034	0.13	3.2735371361681e-10
SAP18	9.89788064501819e-15	-0.328218403950231	0.5	0.67	3.62272329488311e-10
FYN	1.01663131986474e-14	0.320967319933693	0.949	0.941	3.72097229383694e-10
RGS10	1.07239223642733e-14	0.458616993835145	0.248	0.112	3.92506282454768e-10
TENT4B	1.07873143049127e-14	0.582927911904603	0.427	0.279	3.94826490874109e-10
FAM117B	1.16678115605142e-14	0.447086697371039	0.181	0.064	4.2705357092638e-10
MKLN1	1.24999500398357e-14	0.554718246054462	0.547	0.404	4.57510671408028e-10
PHLDA1	1.45653358820318e-14	-0.454130993350041	0.208	0.366	5.33105858618247e-10
NOP10	1.49561369937205e-14	-0.397848867341324	0.374	0.53	5.47409570107165e-10
EIF4A1	1.5479625495584e-14	-0.35239729456371	0.791	0.89	5.66569772763869e-10
NDFIP1	1.71834447956233e-14	0.572705234356343	0.535	0.413	6.28931262964607e-10
PHPT1	1.75133522747767e-14	-0.38433481261773	0.117	0.25	6.41006206609102e-10
KIF2A	1.79148113618318e-14	0.563800660115722	0.418	0.265	6.55700010654404e-10
TBC1D4	1.86875896676197e-14	0.281350751472836	0.116	0.025	6.83984469424548e-10
RPS2	1.8936754578046e-14	0.284378879372792	0.98	0.994	6.9310415431106e-10
INPP4B	1.91926377433066e-14	0.350761515969867	0.138	0.038	7.02469734042763e-10
TESPA1	2.12291496314727e-14	0.38864742513695	0.23	0.098	7.77008105661534e-10
ZNF609	2.39956069387493e-14	0.582220802713942	0.372	0.221	8.78263209565162e-10
SELL	2.51244659724271e-14	0.469013976959681	0.279	0.137	9.19580579056805e-10
LYAR	3.18823020999689e-14	-0.345063254370293	0.26	0.429	1.16692413916096e-09
CBL	3.31835444877975e-14	0.421797375044291	0.219	0.092	1.21455091179788e-09
PASK	3.34580067100128e-14	0.370058096531617	0.13	0.034	1.22459650359318e-09
ELF1	3.38993290672301e-14	0.449743902509946	0.754	0.687	1.24074934318969e-09
AC114760.2	3.86168774466599e-14	0.310656011496462	0.103	0.018	1.4134163314252e-09
CHCHD2	4.10420677919196e-14	-0.305007606078099	0.733	0.879	1.50218072325205e-09
EGR2	4.55258615943206e-14	-0.409077463872491	0.043	0.143	1.66629206021373e-09
SH3BGRL3	4.69914800068903e-14	-0.304437355098884	0.886	0.955	1.71993515973219e-09
ITPR1	4.70837246406982e-14	0.593469969223478	0.338	0.199	1.7233114055742e-09
DDX5	4.74023704380478e-14	-0.311232887017337	0.863	0.93	1.73497416040299e-09
HES6	5.09267842079022e-14	-0.325083979864533	0.023	0.109	1.86397122879343e-09
DTNBP1	5.2405686807735e-14	0.581877464806435	0.307	0.166	1.91810054284991e-09
RPL9	5.7379078099861e-14	0.32283897794508	0.962	0.991	2.10013163753301e-09
GCHFR	6.38638954940329e-14	-0.368270182938529	0.145	0.287	2.3374824389771e-09
IL6ST	6.93289347850038e-14	0.378966863419786	0.235	0.102	2.53750834206592e-09
LINC01505	7.06634057249644e-14	-0.480337992645917	0.059	0.167	2.58635131293942e-09
PDS5A	7.34642682494875e-14	0.515924799610073	0.485	0.337	2.68886568219949e-09
CD27	7.41488130807997e-14	0.272755874039701	0.127	0.033	2.71392070757035e-09
GLIPR1	8.56370811651687e-14	-0.506815086703404	0.344	0.489	3.13440280772634e-09
IER2	8.66473440085816e-14	-0.440594693549789	0.672	0.798	3.17137943805809e-09
MAL	8.72716327293829e-14	0.262664775059398	0.11	0.024	3.19422902952814e-09
CD3E	9.51431843067281e-14	0.413488094845112	0.34	0.184	3.48233568881055e-09
PSAP	1.03393602186397e-13	-0.366208908222861	0.205	0.357	3.78430923362433e-09
STK38	1.13934250239007e-13	0.512669629791173	0.578	0.453	4.17010749299791e-09
C17orf49	1.15686343562714e-13	-0.388889101727336	0.435	0.597	4.2342358607389e-09
TAP1	1.16315329068954e-13	-0.329313705156951	0.248	0.411	4.25725735925277e-09
PARK7	1.21499809364676e-13	-0.35744201370684	0.377	0.535	4.44701452255651e-09
CCL4L2	1.25900260878529e-13	-0.398868397623713	0.107	0.236	4.60807544841503e-09
TRPS1	1.26414225622197e-13	0.537709069268067	0.286	0.146	4.62688707199804e-09
MSI2	1.2676804576401e-13	0.471075496116231	0.299	0.157	4.63983724300854e-09
EDF1	1.58180063646708e-13	-0.313006888446453	0.591	0.737	5.78954850953316e-09
NDUFC2	1.68002883899037e-13	-0.386618464966039	0.253	0.397	6.14907355358865e-09
UBR1	1.69045737037314e-13	0.542766555076485	0.503	0.357	6.18724302130274e-09
TNRC6A	1.75150735251416e-13	0.502897115284788	0.466	0.323	6.41069206093707e-09
BST2	1.85937521795451e-13	-0.341498006809002	0.142	0.278	6.80549923523529e-09
RPL11	1.93121278110164e-13	0.279352078172158	0.991	0.999	7.06843190011012e-09
BPTF	2.12954692938813e-13	0.461359165887797	0.651	0.526	7.7943547162535e-09
MAPK8	2.16788783212983e-13	0.568778706257152	0.45	0.301	7.9346862543784e-09
LY6E	2.19400746878777e-13	-0.415968111213311	0.291	0.443	8.03028673651011e-09
AMZ2	2.36496428203187e-13	-0.340737114238013	0.102	0.224	8.65600576866486e-09
MAFF	2.3652260656838e-13	-0.405877340197568	0.212	0.365	8.65696392300928e-09
NDUFA3	2.42527084212786e-13	-0.371807290100089	0.205	0.349	8.87673380927219e-09
GPR183	2.79010861693274e-13	0.427997377858279	0.365	0.208	1.02120765488355e-08
KAT6A	2.84201686486695e-13	0.446485180746259	0.712	0.632	1.04020659270995e-08
AC073167.1	2.9547695206854e-13	0.320200685539897	0.118	0.029	1.08147519226606e-08
GPAA1	2.99244025050279e-13	-0.292413733667504	0.046	0.144	1.09526305608653e-08
RGS2	3.09522215502276e-13	-0.428663991078785	0.114	0.24	1.13288226095988e-08
IL2RB	3.13132422020404e-13	-0.392175750603787	0.279	0.434	1.14609597783688e-08
SH3GLB1	3.2997343243015e-13	-0.362395132141629	0.369	0.529	1.20773576003759e-08
KMT2A	3.52831928148466e-13	0.511877521112508	0.465	0.322	1.2914001402162e-08
ROMO1	3.99371362998255e-13	-0.337776827166335	0.155	0.291	1.46173912570991e-08
RALGDS	4.73343941784685e-13	-0.376369418514407	0.499	0.639	1.73248616132613e-08
RBM6	4.73575048136438e-13	0.462095752055359	0.524	0.374	1.73333203368418e-08
ATP9A	4.79346825756184e-13	0.693376201741	0.291	0.162	1.75445731695021e-08
SLC25A5	4.84558450076564e-13	-0.406593558615802	0.384	0.532	1.77353238312523e-08
CD37	4.87678220295229e-13	-0.371034165130932	0.536	0.678	1.78495105410257e-08
SPPL3	4.87901173838035e-13	0.503420406018401	0.428	0.283	1.78576708636459e-08
BTBD9	4.9120728968195e-13	0.565028389053049	0.604	0.489	1.79786780096491e-08
SRPK2	4.99462252544755e-13	0.552335056573819	0.59	0.497	1.82808179053906e-08
GSN	5.15928925805965e-13	-0.293862854259577	0.043	0.137	1.88835146134241e-08
NFATC3	5.55558998484881e-13	0.570075721897171	0.515	0.376	2.03340149035451e-08
INSIG1	5.61082371034554e-13	-0.468059142371843	0.315	0.462	2.05361758622357e-08
GLG1	5.74143946515369e-13	0.555238853232288	0.534	0.415	2.1014242586409e-08
RNF149	5.83857427891266e-13	0.477775713235975	0.672	0.572	2.13697657182482e-08
EMP3	6.20828894901148e-13	-0.37531509710585	0.737	0.84	2.27229583822769e-08
MBNL1	6.34004346437956e-13	0.357119869784634	0.923	0.934	2.32051930839756e-08
ZHX2	6.43564066608187e-13	0.536761818788269	0.816	0.754	2.35550884019263e-08
MIR155HG	6.56444801261901e-13	-0.476289990076731	0.096	0.212	2.40265361709868e-08
THEMIS2	6.70564638977311e-13	-0.25968226229503	0.067	0.177	2.45433363512086e-08
SAMD3	7.23087650352989e-13	0.53147979932483	0.61	0.48	2.64657310905697e-08
MED13	7.33193667911287e-13	0.489355034031563	0.524	0.388	2.6835621439221e-08
IFNGR1	7.66641030107173e-13	-0.378740594960718	0.292	0.45	2.80598283429526e-08
TNFRSF4	7.77363752935926e-13	-0.445904679578877	0.276	0.434	2.84522907212078e-08
COX6B1	7.79725153449381e-13	-0.359656139974767	0.445	0.596	2.85387203414008e-08
PCBP3	8.03798118497002e-13	0.364754358998888	0.151	0.051	2.94198149351088e-08
MARK3	8.95567287981946e-13	0.506716578949651	0.515	0.376	3.27786583074272e-08
AKR1C3	8.98186090495944e-13	-0.394087881852295	0.138	0.269	3.2874509098242e-08
DENND4A	9.22385214992365e-13	0.476041338564455	0.815	0.75	3.37602212539356e-08
MGAT1	9.32584099073638e-13	-0.361978256959021	0.183	0.325	3.41335106101942e-08
CD244	9.76315357689245e-13	-0.349669940775363	0.318	0.485	3.57341184067841e-08
C9orf16	1.0418481627282e-12	-0.317229236138124	0.356	0.52	3.81326846040149e-08
DUSP5	1.05901192749411e-12	-0.350461918119836	0.132	0.263	3.8760895558212e-08
TMEM245	1.06077843549206e-12	0.518215253132668	0.335	0.201	3.88255515174448e-08
RNF38	1.13307635629837e-12	0.495082689476557	0.491	0.356	4.14717277168768e-08
EPSTI1	1.16330759253314e-12	0.39122367018921	0.172	0.065	4.25782211943054e-08
AC009093.2	1.19665348159698e-12	-0.431563574384881	0.214	0.359	4.3798714079931e-08
LAMP1	1.1984005583457e-12	-0.34941665215234	0.222	0.367	4.38626588360109e-08
NLRP1	1.19888063822925e-12	0.491703483907081	0.396	0.251	4.38802302398287e-08
AL139246.5	1.20361799511751e-12	-0.434231712292505	0.14	0.267	4.40536222392959e-08
ITPKB	1.25366854265924e-12	0.494573227403212	0.375	0.24	4.58855223298709e-08
S100A6	1.26651669588193e-12	-0.310638145206102	0.655	0.785	4.63557775859744e-08
ODC1	1.31028505547182e-12	-0.403275758293736	0.3	0.451	4.79577433153242e-08
UBR2	1.38620656798238e-12	0.484398731796261	0.555	0.428	5.07365465947233e-08
GPATCH8	1.45381443496881e-12	0.468101121789857	0.586	0.471	5.32110621342933e-08
SRSF3	1.54476804711109e-12	-0.361473394152419	0.535	0.691	5.6540055292313e-08
SERTAD1	1.54725056147374e-12	-0.332702653010747	0.29	0.448	5.66309178005005e-08
DUSP1	1.61798873161396e-12	-0.560572618495218	0.388	0.547	5.92200055658026e-08
RPL39	1.64767943012981e-12	0.271300055871966	0.992	0.994	6.03067148221813e-08
ZC3HAV1	1.69162796546364e-12	0.49179890105018	0.569	0.444	6.19152751639345e-08
CD28	1.77580491409215e-12	0.284235491009298	0.114	0.03	6.49962356606866e-08
SAMHD1	1.79346347113731e-12	0.516552564528204	0.367	0.229	6.56425565070968e-08
SNRPG	2.25662545442607e-12	-0.359663827812326	0.423	0.579	8.25947482574488e-08
MBP	2.61282639682126e-12	0.355107871048576	0.891	0.853	9.56320589500551e-08
CELF1	2.63072608424296e-12	0.483701658151724	0.541	0.397	9.62872054093764e-08
TTC3	2.64607491399784e-12	0.493316426836194	0.398	0.258	9.68489879272349e-08
SFI1	2.74701077166751e-12	0.443240707760632	0.266	0.138	1.00543341253802e-07
LINGO2	2.99514470978178e-12	-0.476502483819295	0.096	0.213	1.09625291522723e-07
ORAI1	3.12543912653928e-12	-0.398699511834101	0.394	0.538	1.14394197470464e-07
DDOST	3.21735491123769e-12	-0.392019461297281	0.183	0.313	1.17758407106211e-07
PRR7	3.32885735838093e-12	-0.348634349081529	0.234	0.378	1.218395081741e-07
AC008569.1	3.78827727094616e-12	0.459180364431275	0.219	0.101	1.386547363939e-07
KLRG1	3.93718234049088e-12	-0.343715028493762	0.152	0.284	1.44104810844307e-07
CXCR3	3.96734129444438e-12	-0.470175716948405	0.15	0.276	1.45208658717959e-07
GIT2	4.08944005902937e-12	0.441439454201562	0.294	0.162	1.49677595600534e-07
DAD1	4.20449740872322e-12	-0.375955211614156	0.249	0.384	1.53888809656678e-07
AGTRAP	4.61590961090182e-12	-0.331537694701213	0.056	0.153	1.68946907668618e-07
AUP1	4.65003401299663e-12	-0.357537130928973	0.166	0.296	1.7019589490969e-07
IMMP2L	4.92027028113674e-12	0.583578062587312	0.291	0.164	1.80086812559886e-07
BIRC6	5.40152533662929e-12	0.463767686194895	0.656	0.56	1.97701228845969e-07
KDM6A	5.57540162005367e-12	0.461006400752345	0.63	0.524	2.04065274695584e-07
RARA	5.89402504425436e-12	-0.36994998621459	0.356	0.505	2.15727210644754e-07
DUSP2	6.0268800702656e-12	-0.522376287945251	0.518	0.633	2.20589837451791e-07
DIP2A	6.03417924083385e-12	-0.387150365088419	0.176	0.306	2.2085699439376e-07
TNFAIP8	6.08689711624733e-12	0.506463376935733	0.512	0.379	2.22786521351768e-07
HNRNPK	6.18698175788051e-12	-0.344955054484184	0.515	0.672	2.26449719320185e-07
CD5	6.94568933666779e-12	0.278535842711738	0.12	0.036	2.54219175411378e-07
MRTFA	7.00326857874437e-12	0.512694054121523	0.485	0.348	2.56326633250623e-07
OASL	7.13066523477013e-12	-0.437448822080437	0.125	0.246	2.60989478257822e-07
CDC42EP3	7.49460340217115e-12	-0.335725883103358	0.326	0.485	2.74309979122866e-07
IDI1	7.86184136394338e-12	-0.366008220182021	0.332	0.47	2.87751255761691e-07
DR1	8.09357142185087e-12	-0.326828004956557	0.169	0.3	2.96232807611164e-07
SNHG29	8.35797410424724e-12	0.397253781459362	0.678	0.612	3.05910210189553e-07
BRK1	9.51348984808411e-12	-0.329969264876384	0.328	0.474	3.48203241929726e-07
PGK1	9.82467347794345e-12	-0.323251304527608	0.469	0.618	3.59592873966208e-07
COL6A2	1.00077749445387e-11	-0.394469108349694	0.045	0.132	3.66294570745059e-07
MNAT1	1.02465412020778e-11	-0.36049965572362	0.244	0.393	3.75033654537248e-07
SNRPB	1.06322020789121e-11	-0.322119245925416	0.489	0.631	3.89149228290263e-07
NCOA1	1.18098351189108e-11	0.502406081941611	0.678	0.586	4.32251775187254e-07
DOCK11	1.18547370382005e-11	0.447699880826507	0.393	0.247	4.33895230335177e-07
ITGB7	1.18614324589803e-11	-0.349937452249391	0.099	0.208	4.34140289431139e-07
RAPGEF2	1.1914684797017e-11	0.517154171271531	0.495	0.365	4.3608937825562e-07
TPI1	1.21401591485067e-11	-0.32704933596961	0.37	0.517	4.44341964994494e-07
TLK1	1.24167009614321e-11	0.453228566201312	0.409	0.272	4.54463671889375e-07
GPR68	1.30399969263169e-11	-0.275192684813647	0.093	0.205	4.77276927500124e-07
ELMO1	1.32312132420294e-11	0.529653652770134	0.531	0.415	4.84275635871518e-07
FBXO11	1.38071661305395e-11	0.452981978988603	0.703	0.633	5.05356087543876e-07
KLHDC4	1.49375950033622e-11	-0.337186071870905	0.272	0.418	5.46730914718061e-07
EMC4	1.51838673674328e-11	-0.353865462807313	0.127	0.241	5.55744729515407e-07
NDUFB2	1.63508448661746e-11	-0.313322953843152	0.471	0.624	5.98457272946856e-07
KMT2C	1.71391771123721e-11	0.404728646217297	0.659	0.557	6.2731102148993e-07
ZAP70	1.90240927457714e-11	-0.345431329223733	0.227	0.369	6.96300818587978e-07
CCM2	1.92064237273124e-11	0.470616985771972	0.465	0.324	7.02974314843361e-07
TLE5	1.98814625249656e-11	-0.355494579291538	0.581	0.716	7.27681409876268e-07
EFNA5	2.29183102481388e-11	-0.408417722645507	0.072	0.173	8.3883307339213e-07
PRDX6	2.52094296928719e-11	-0.351617905080415	0.315	0.462	9.22690336188805e-07
WDR1	2.76920639491555e-11	-0.352748364768038	0.235	0.371	1.01355723260304e-06
UBE2I	2.77978676556835e-11	-0.303951579388671	0.368	0.522	1.01742975406567e-06
CD6	2.79388248114497e-11	0.410482408980976	0.319	0.187	1.02258892692387e-06
HIF1A	2.8579872072534e-11	0.536791279877919	0.534	0.409	1.04605189772682e-06
RHOG	2.87221892957991e-11	-0.395705695258262	0.434	0.561	1.05126085041554e-06
LDHB	3.02038197282511e-11	0.493961103352122	0.423	0.3	1.10549000587372e-06
NFIL3	3.04047385451858e-11	-0.342570182949365	0.076	0.176	1.11284383549235e-06
AC017104.1	3.08644751799353e-11	-0.296970128195612	0.068	0.167	1.12967065606081e-06
PIK3CD	3.12500547292706e-11	0.491539989626116	0.638	0.529	1.14378325314603e-06
TRGV9	3.37295524416369e-11	-0.25540557204525	0.033	0.111	1.23453534891635e-06
EPC1	3.5709228085381e-11	0.434930646563591	0.64	0.545	1.30699345715303e-06
CST3	3.58841171348201e-11	-0.274978434833025	0.046	0.132	1.31339457125155e-06
PCID2	3.59463539663198e-11	-0.436581731597693	0.268	0.401	1.31567250152127e-06
N4BP2L2	3.73337185343619e-11	0.433736149021591	0.653	0.57	1.36645143207618e-06
JMJD1C	3.92695228116427e-11	0.370817254635752	0.779	0.715	1.43730380442894e-06
TRAC	3.98398885651141e-11	0.37764022198675	0.29	0.158	1.45817976137174e-06
ICAM1	4.04303582327067e-11	-0.357154174603316	0.214	0.355	1.4797915416753e-06
MRPL54	4.10994217705705e-11	-0.280820380308271	0.293	0.438	1.50427993622465e-06
MAP2K2	4.16049891172933e-11	-0.336327723216655	0.225	0.357	1.52278420668205e-06
PUM2	4.31588080116914e-11	0.46738454983239	0.517	0.391	1.57965553203592e-06
CMTM7	4.37949132004937e-11	0.332178498138959	0.17	0.071	1.60293761805127e-06
TMBIM6	4.78808282946178e-11	-0.300938250859764	0.569	0.705	1.75248619641131e-06
BIN1	4.93997707355531e-11	-0.350556314708877	0.188	0.313	1.80808100869198e-06
SAR1A	5.09624025148298e-11	-0.286981778172172	0.258	0.403	1.86527489444529e-06
ARPC4	5.16169584934722e-11	-0.333749209119462	0.206	0.339	1.88923229781958e-06
STIM1	5.28385363256448e-11	0.505991144563397	0.347	0.217	1.93394326805492e-06
FCRL6	5.3603617497835e-11	-0.261807562986408	0.055	0.146	1.96194600403826e-06
TAPBP	5.49121084419224e-11	-0.3177827017129	0.453	0.611	2.0098380810828e-06
ARPC1B	5.82343473947064e-11	-0.295273801615392	0.475	0.616	2.13143534899365e-06
FIS1	6.04286673639554e-11	-0.292893667483823	0.179	0.31	2.21174965418813e-06
ABI3	6.22912551113579e-11	-0.374569446908672	0.138	0.255	2.27992222833081e-06
CDC14A	6.65802250583762e-11	0.474250928298903	0.402	0.269	2.43690281736163e-06
FKBP5	6.72911053422194e-11	0.381580460667574	0.203	0.095	2.46292174663057e-06
KAT6B	6.80322626032754e-11	0.492199320231289	0.434	0.306	2.49004884354248e-06
P2RY10	7.78006757478286e-11	0.314823607531941	0.197	0.091	2.84758253304627e-06
ZDHHC20	7.97346554838105e-11	0.533900049242436	0.456	0.332	2.91836812536295e-06
FTL	8.02481525159863e-11	-0.279000973831936	0.906	0.975	2.93716263023761e-06
STX1A	8.44368442060914e-11	-0.272012383154551	0.059	0.149	3.09047293478715e-06
PSTPIP1	8.51307588550218e-11	-0.332457346350605	0.123	0.233	3.11587090485265e-06
SLC25A3	8.78839517618005e-11	-0.281824500355822	0.608	0.752	3.21664051843366e-06
PSMB1	8.91463015654162e-11	-0.277262945373821	0.386	0.534	3.2628437835958e-06
AC119396.1	9.07575604334294e-11	0.324078033651299	0.123	0.04	3.32181746942395e-06
NUCB1	9.42514874801626e-11	-0.297743658017508	0.103	0.21	3.44969869326143e-06
AC079793.1	9.43977318835232e-11	0.312694333309938	0.118	0.037	3.45505138466883e-06
ANXA11	9.89001943955949e-11	-0.314906987881525	0.341	0.476	3.61984601507317e-06
ANXA2	1.02326966530502e-10	-0.416719779496384	0.205	0.324	3.74526930198291e-06
DUSP10	1.03414431715073e-10	-0.364691825982286	0.265	0.4	3.7850716152034e-06
PKN1	1.04009063669994e-10	-0.292355925149277	0.171	0.294	3.80683573938545e-06
MCM7	1.04074934686396e-10	-0.339751121604019	0.132	0.249	3.80924668445678e-06
KLRK1	1.05063338654499e-10	-0.327158683730212	0.434	0.579	3.84542325809332e-06
IER3	1.05464452059735e-10	-0.380767997203239	0.255	0.388	3.86010440983835e-06
TRMT112	1.06603993699244e-10	-0.350524851875655	0.377	0.51	3.90181277338603e-06
RNF167	1.09628618652891e-10	-0.28282189818094	0.096	0.2	4.01251707131446e-06
SFPQ	1.09776547993466e-10	-0.314412355397651	0.602	0.719	4.01793143310887e-06
CTSA	1.2204829023832e-10	-0.275008200856639	0.066	0.158	4.46708947101276e-06
SDHD	1.34693082480756e-10	-0.285989081108928	0.099	0.202	4.92990151187816e-06
ZCCHC7	1.37356334205442e-10	0.532466995650781	0.386	0.256	5.02737918825338e-06
TES	1.37786748855551e-10	-0.3469792898746	0.437	0.578	5.04313279486204e-06
BCL2L1	1.42018012898338e-10	-0.378371677204981	0.121	0.229	5.19800129009208e-06
PVT1	1.44756612142401e-10	0.366798855034336	0.153	0.062	5.29823676102401e-06
UQCRFS1	1.53313667316015e-10	-0.304403628778433	0.323	0.464	5.61143353743347e-06
ATF7IP	1.54613526123255e-10	0.487789217434729	0.455	0.331	5.65900966963727e-06
HIP1	1.69053943657255e-10	0.65984433067721	0.37	0.25	6.18754339179918e-06
HMGN2	1.79733998899319e-10	-0.360891398317397	0.352	0.484	6.57844409371397e-06
MGAT4A	1.79794839338336e-10	0.427578243210873	0.41	0.282	6.58067091462245e-06
PSMB10	1.92290498030676e-10	-0.316299310640778	0.206	0.333	7.03802451842077e-06
STAG1	1.97346993017784e-10	0.445313972797371	0.712	0.634	7.22309729144392e-06
INPP4A	2.01655523059851e-10	0.469379304747929	0.406	0.284	7.38079379951359e-06
DHRS3	2.10641099171393e-10	-0.367651656912401	0.207	0.331	7.70967487077216e-06
ESYT2	2.16670702255139e-10	0.475566900955369	0.676	0.586	7.93036437324033e-06
AP000787.1	2.19315723850568e-10	0.285545265413694	0.112	0.035	8.02717480865466e-06
TBC1D10C	2.25718098193491e-10	-0.339408885120287	0.173	0.294	8.26150811197998e-06
SETX	2.30054398885334e-10	0.461885449545463	0.377	0.251	8.42022105360212e-06
SLC12A6	2.38133220938534e-10	0.432710845959893	0.335	0.212	8.71591401957127e-06
AC058791.1	2.41092309714491e-10	0.442416042163441	0.463	0.332	8.82421962786008e-06
AFF1	2.43300733705158e-10	0.480994276917711	0.488	0.365	8.90505015434249e-06
UQCR10	2.45917128511178e-10	-0.31577002663602	0.349	0.492	9.00081282063762e-06
ABT1	2.53637359276332e-10	-0.298026782547423	0.137	0.249	9.28338098687302e-06
ILKAP	2.71331603698713e-10	-0.341725942056183	0.278	0.406	9.9310080269766e-06
